type,caps_text,text_len,excl_text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,0,1394,0,3,6,1,2,8,3,3,10,6,19
1,25,5426,4,14,19,7,15,13,12,12,36,28,52
1,2,3204,0,5,12,1,6,5,10,4,14,16,28
1,5,987,0,2,5,2,1,2,1,4,3,4,4
1,0,2171,0,5,8,1,3,5,5,2,11,9,16
1,0,1790,0,1,6,1,2,3,3,1,7,6,15
1,6,1415,0,6,3,2,8,4,5,3,11,9,11
1,3,1757,0,6,8,4,5,10,6,3,11,12,15
1,2,2383,0,3,7,1,2,0,1,1,5,9,5
1,0,1481,0,6,7,2,9,1,6,3,3,8,6
1,1,1773,0,2,4,0,2,2,2,2,4,4,11
1,2,2076,0,9,6,7,8,1,7,1,7,14,6
1,7,1534,0,8,6,3,8,5,8,1,14,11,17
1,3,3450,0,4,10,4,9,6,9,3,18,16,23
1,2,1251,0,2,5,3,3,6,7,1,6,9,11
1,1,1354,0,1,2,1,0,2,1,1,3,3,10
1,11,3024,0,10,11,2,9,6,10,3,15,27,23
1,4,1506,0,1,5,0,2,4,3,2,11,3,17
1,4,1643,0,2,4,3,4,3,3,0,13,4,21
1,1,1538,0,0,3,1,0,0,1,0,8,4,10
1,5,2611,0,4,11,1,4,3,5,0,8,13,19
1,6,1460,0,1,2,2,5,2,7,2,9,9,7
1,1,2497,0,3,8,2,9,4,4,2,15,8,21
1,0,1376,0,2,7,0,2,2,2,2,4,4,9
1,0,1362,0,5,13,3,7,10,7,5,9,6,18
1,0,2798,0,5,11,5,7,10,6,4,21,10,37
1,11,2805,0,4,9,1,6,6,3,4,16,9,21
1,3,3311,0,6,16,6,8,11,10,6,16,14,25
1,3,2255,0,7,7,5,6,7,9,6,14,13,18
1,0,1862,0,2,6,1,2,2,2,0,4,5,11
1,1,1788,0,3,11,1,2,6,5,5,8,5,13
1,2,3247,0,3,12,2,7,6,5,1,18,15,21
1,12,3026,0,5,11,0,6,3,0,2,16,6,20
1,7,4218,0,5,13,5,13,12,10,10,12,21,22
1,24,3393,0,2,10,2,10,4,7,2,14,17,22
1,24,2411,0,3,7,1,4,5,0,2,12,6,14
1,1,1635,0,4,2,3,3,3,3,2,10,9,7
1,1,960,0,2,3,0,1,0,0,1,0,5,3
1,0,1105,0,6,5,0,7,4,4,1,7,10,10
1,0,1334,0,2,4,2,2,3,2,0,5,4,9
1,9,3508,0,4,4,2,8,3,8,0,12,11,23
1,0,1019,0,2,4,0,1,2,2,0,5,4,4
1,2,1447,0,3,6,0,1,6,2,4,7,3,10
1,10,2214,0,1,3,1,2,1,1,0,10,5,11
1,7,1413,0,5,3,2,4,2,2,2,5,7,7
1,3,1172,0,1,6,0,2,5,1,1,9,4,12
1,8,2682,0,2,11,0,2,5,4,1,14,7,23
1,11,2156,0,2,5,1,3,4,2,1,9,7,14
1,16,2317,0,3,6,0,3,3,3,2,6,3,15
1,4,3625,0,9,9,11,14,7,15,4,19,24,26
1,2,2846,0,13,12,5,20,4,8,3,8,23,14
1,2,1238,0,1,4,0,1,4,1,3,5,1,13
1,3,3712,0,6,15,1,10,10,10,4,18,18,27
1,1,1824,0,2,7,1,3,1,3,2,4,5,11
1,1,1449,0,2,8,1,2,6,5,3,8,3,14
1,3,1378,0,3,3,0,5,0,3,0,5,9,7
